epoch,train_loss,val_loss,val_l1,val_l2,lr_model,lr_latent,elapsed_s
319,0.000764,0.000827,0.000705,0.000122,1.00e-04,1.00e-03,1202.3
320,0.000761,0.000804,0.000682,0.000122,1.00e-04,1.00e-03,1206.1
321,0.000765,0.000810,0.000688,0.000122,1.00e-04,1.00e-03,1209.8
322,0.000764,0.000856,0.000735,0.000122,1.00e-04,1.00e-03,1213.6
323,0.000762,0.000777,0.000655,0.000122,1.00e-04,1.00e-03,1217.4
324,0.000760,0.000808,0.000686,0.000122,1.00e-04,1.00e-03,1221.2
325,0.000761,0.000814,0.000692,0.000121,1.00e-04,1.00e-03,1224.9
326,0.000759,0.000849,0.000728,0.000121,1.00e-04,1.00e-03,1228.7
327,0.000758,0.000845,0.000724,0.000121,1.00e-04,1.00e-03,1232.4
328,0.000762,0.000832,0.000711,0.000121,1.00e-04,1.00e-03,1236.2
329,0.000760,0.000860,0.000738,0.000121,1.00e-04,1.00e-03,1240.0
330,0.000762,0.000799,0.000677,0.000121,1.00e-04,1.00e-03,1243.7
331,0.000754,0.000844,0.000723,0.000121,1.00e-04,1.00e-03,1247.5
332,0.000751,0.000812,0.000691,0.000121,1.00e-04,1.00e-03,1251.2
333,0.000753,0.000821,0.000700,0.000121,1.00e-04,1.00e-03,1255.0
334,0.000752,0.000849,0.000728,0.000121,1.00e-04,1.00e-03,1258.7
335,0.000751,0.000808,0.000687,0.000121,1.00e-04,1.00e-03,1262.5
336,0.000755,0.000823,0.000702,0.000121,1.00e-04,1.00e-03,1266.3
337,0.000745,0.000809,0.000688,0.000121,1.00e-04,1.00e-03,1270.0
338,0.000746,0.000816,0.000696,0.000121,1.00e-04,1.00e-03,1273.8
339,0.000746,0.000839,0.000719,0.000121,1.00e-04,1.00e-03,1277.6
340,0.000744,0.000839,0.000718,0.000121,1.00e-04,1.00e-03,1281.3
341,0.000751,0.000784,0.000663,0.000121,1.00e-04,1.00e-03,1285.1
